id,label,iteration,n_images,corrected_score,r_low_highref_psnr,r_high_highref_psnr,r_low_highref_ssim,r_low_highref_mean_ratio,r_low_highref_overbright_010,r_consistency_psnr,s_low_psnr,s_high_psnr,l_low_input_gray_corr,l_high_input_gray_corr,run,path
E1,smooth v1 0.6,2000,100,19,5.365506050782191,5.538874276170583,0.2799419891834259,2.5085030187850452,0.978710625,25.7487955332606,33.78,26.01,0.8330447937150288,0.9384664061755099,LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.6smv1_20260719-014110,experiments/RetinexPixelTrans/paired/LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.6smv1_20260719-014110
E3,smooth v1 0.8,2000,100,32,5.303865228774629,5.427208343769399,0.25562001153826713,2.522724786708712,0.9805418333333332,25.81100907582506,33.6,25.51,0.8243535174268918,0.9347056082618684,LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.8smv1_20260719-045945,experiments/RetinexPixelTrans/paired/LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.8smv1_20260719-045945
E2,smooth v1 0.7,2000,100,39,5.212773911259587,5.303813837069007,0.2658668551594019,2.53774140207757,0.980522875,26.194073953949896,33.65,25.47,0.8253407514597509,0.9363176134478397,LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.7smv1_20260719-032032,experiments/RetinexPixelTrans/paired/LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.7smv1_20260719-032032
E7,equal_r 0.05,2000,100,44,5.207202298785353,5.238664066757629,0.26071821570396425,2.533824138628998,0.9789619999999999,25.58270145129474,33.96,25.6,0.8379761862045357,0.9412034860426758,LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.05er_0.5smv1_20260719-113634,experiments/RetinexPixelTrans/paired/LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.05er_0.5smv1_20260719-113634
E4,smooth v1 1.0,2000,100,56,4.883693618931063,4.861939653262195,0.24165430076420308,2.598701409491674,0.9826323333333333,27.11009996085538,33.27,24.81,0.8153209517872773,0.9318732833098732,LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_1.0smv1_20260719-063857,experiments/RetinexPixelTrans/paired/LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_1.0smv1_20260719-063857
E10,cross 0.005,2000,100,65,4.468960857981996,4.499398426477359,0.3154609271138906,2.683970589278118,0.98525575,30.847094304093407,33.36,25.05,0.8268242215172313,0.9378023546273445,LOLv2_1.0rh_0.3rl_0.005crh_0.005crl_0.1er_0.5smv1_20260719-163430,experiments/RetinexPixelTrans/paired/LOLv2_1.0rh_0.3rl_0.005crh_0.005crl_0.1er_0.5smv1_20260719-163430
E9,cross 0.003,2000,100,74,4.43173915763795,4.447271401189347,0.31754409678280354,2.6911303839039986,0.9856377916666667,31.21140998136822,33.33,25.01,0.8282975683894935,0.9377249348146516,LOLv2_1.0rh_0.3rl_0.003crh_0.003crl_0.1er_0.5smv1_20260719-145506,experiments/RetinexPixelTrans/paired/LOLv2_1.0rh_0.3rl_0.003crh_0.003crl_0.1er_0.5smv1_20260719-145506
E8,equal_r 0.15,2000,100,83,4.402070292205425,4.410052777762228,0.32045565634965895,2.6978300314997012,0.9866449166666666,32.56039375006499,33.21,24.9,0.8298311143469099,0.9380759218462272,LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.15er_0.5smv1_20260719-131550,experiments/RetinexPixelTrans/paired/LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.15er_0.5smv1_20260719-131550
E6,smooth v3 0.5,4000,100,91,3.8161708426214704,3.8122636630487166,0.34903350979089737,2.8094658765034013,0.9880290416666666,57.38894978314754,33.73,24.11,0.8922504212301193,0.9542851431403858,LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.5smv3_20260719-095720,experiments/RetinexPixelTrans/paired/LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.5smv3_20260719-095720
E5,smooth v2 0.5,4000,100,102,3.8135902074919517,3.8084358560751896,0.34904917791485784,2.810063662592053,0.98805525,55.92093778509764,33.71,24.0,0.8928246009240383,0.954405599207296,LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.5smv2_20260719-081809,experiments/RetinexPixelTrans/paired/LOLv2_1.0rh_0.3rl_0.001crh_0.001crl_0.1er_0.5smv2_20260719-081809
