run,label,path,dataset,model.name,model.dim,data.mode,data.path,data.batch_size,data.crop_size,training.seed,training.max_iterations,loss.mode,loss.recon_weight,loss.anchor_version,loss.anchor_weight,loss.bdsp_weight,loss.smooth_weight,loss.smooth_version,available_image_sets,requested_image_set,target_image_set,has_target_image_set,R_low_count,L_low_count,components_complete,has_config,has_train_log,has_synthesis,has_compare_psnr,has_decomp_report,has_decomp_details,has_final_full_validation,has_best_model,has_last_model,analysis_ready
LOLv2_0.3r_0.05anchorv2_0.05bdsp_0.1smv1_20260723-115707,r0.3-a2-sm0.1v1,experiments/RetinexPixelTrans/pure_low_single/LOLv2_0.3r_0.05anchorv2_0.05bdsp_0.1smv1_20260723-115707,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,0.3,v2,0.05,0.05,0.1,v1,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
LOLv2_0.7r_0.1anchorv2_0.08bdsp_0.1smv2_20260724-012046,r0.7-a2-sm0.1v2,experiments/RetinexPixelTrans/pure_low_single/LOLv2_0.7r_0.1anchorv2_0.08bdsp_0.1smv2_20260724-012046,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,0.7,v2,0.1,0.08,0.1,v2,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
LOLv2_1.0r_0.05anchorv1_0.05bdsp_0.0smv1_20260723-151945,r1-a1-sm0v1,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv1_0.05bdsp_0.0smv1_20260723-151945,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v1,0.05,0.05,0.0,v1,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,r1-a2-sm0v1,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.0smv1_20260723-184140,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.0,v1,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260723-215946,r1-a2-sm0.1v1,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv1_20260723-215946,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.1,v1,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv2_20260726-061302,r1-a2-sm0.1v2,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv2_20260726-061302,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.1,v2,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv3_20260726-092924,r1-a2-sm0.1v3,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv2_0.05bdsp_0.1smv3_20260726-092924,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.05,0.1,v3,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
LOLv2_1.0r_0.05anchorv2_0.08bdsp_0.1smv2_20260724-044405,r1-a2-sm0.1v2,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv2_0.08bdsp_0.1smv2_20260724-044405,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.08,0.1,v2,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
LOLv2_1.0r_0.05anchorv2_0.1bdsp_0.1smv2_20260724-080743,r1-a2-sm0.1v2,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.05anchorv2_0.1bdsp_0.1smv2_20260724-080743,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.05,0.1,0.1,v2,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
LOLv2_1.0r_0.08anchorv2_0.05bdsp_0.05smv2_20260724-113129,r1-a2-sm0.05v2,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.08anchorv2_0.05bdsp_0.05smv2_20260724-113129,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.08,0.05,0.05,v2,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
LOLv2_1.0r_0.08anchorv2_0.05bdsp_0.1smv2_20260724-145502,r1-a2-sm0.1v2,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.08anchorv2_0.05bdsp_0.1smv2_20260724-145502,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.08,0.05,0.1,v2,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
LOLv2_1.0r_0.08anchorv2_0.05bdsp_0.2smv2_20260724-181848,r1-a2-sm0.2v2,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.08anchorv2_0.05bdsp_0.2smv2_20260724-181848,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.08,0.05,0.2,v2,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
LOLv2_1.0r_0.08anchorv2_0.08bdsp_0.1smv2_20260725-202313,r1-a2-sm0.1v2,experiments/RetinexPixelTrans/pure_low_single/LOLv2_1.0r_0.08anchorv2_0.08bdsp_0.1smv2_20260725-202313,LOLv2,RetinexPixelTrans,24,pure_low_single,/home/ipr4090/2024_hzf/Datasets/LOLv2,8,384,42,10000,pure_low_single_pixel,1.0,v2,0.08,0.08,0.1,v2,best,auto,best,True,100,100,True,True,True,True,True,True,True,False,True,True,True
